Event Name,Log Source,Event Count,Start Time,Low Level Category,Source IP,Source Port,URL (custom),Destination IP,Destination Port,Username,Magnitude
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:57 PM","Object Not Cached","10.6.162.46","49297","www.google-analytics.com","172.217.11.46","443","N/A","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:57 PM","Information","10.6.162.46","49814","live.github.com:443/","140.82.113.26","443","N/A","7"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:57 PM","Access Permitted","10.6.162.46","49466","N/A","140.82.113.25","443","N/A","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:57 PM","Information","10.6.162.46","49813","avatars2.githubusercontent.com:443/","199.232.36.133","443","wgonzalez","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:56 PM","Information","10.6.162.46","49810","github.com:443/","140.82.113.4","443","N/A","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:56 PM","Information","10.6.162.46","49811","github.githubassets.com:443/","185.199.109.154","443","wgonzalez","7"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:56 PM","Access Permitted","10.6.162.46","49607","N/A","192.30.253.112","443","N/A","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:56 PM","Information","10.6.162.46","49812","avatars2.githubusercontent.com:443/","199.232.36.133","443","wgonzalez","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:56 PM","Information","10.6.162.46","49809","github.com:443/","140.82.113.4","443","N/A","7"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:42 PM","Access Permitted","10.6.162.46","49696","N/A","54.87.175.4","443","wgonzalez","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:35 PM","Information","10.6.162.46","49790","cloud-ec-asn.amp.cisco.com:443/","52.6.103.57","443","N/A","7"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:30 PM","Access Permitted","10.6.162.46","49784","N/A","13.68.93.109","443","N/A","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:30 PM","Information","10.6.162.46","49784","sls.update.microsoft.com:443/","13.68.93.109","443","N/A","7"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:20 PM","Object Not Cached","10.6.162.46","49715","slack.com","13.226.39.153","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:19 PM","Access Permitted","10.6.162.46","49402","N/A","172.217.12.174","443","wgonzalez","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:59 PM","Object Not Cached","10.6.162.46","49715","slack.com","13.226.39.153","443","N/A","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:52 PM","Object Not Cached","10.6.162.46","49715","slack.com","13.226.39.153","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:37 PM","Access Permitted","10.6.162.46","49508","N/A","40.90.137.120","443","wgonzalez","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:37 PM","Object Not Cached","10.6.162.46","49692","mlpinfosec.slack.com","13.226.39.153","443","wgonzalez","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:34 PM","Object Not Cached","10.6.162.46","49692","mlpinfosec.slack.com","13.226.39.153","443","wgonzalez","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:30 PM","Access Permitted","10.6.162.46","49719","roaming.officeapps.live.com:443/","52.109.92.24","443","wgonzalez","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:28 PM","Object Not Cached","10.6.162.46","49715","slack.com","13.225.64.153","443","N/A","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:25 PM","Object Not Cached","10.6.162.46","49715","slack.com","13.225.64.153","443","N/A","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:25 PM","Object Not Cached","10.6.162.46","49715","slack.com","13.225.64.153","443","N/A","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:25 PM","Object Not Cached","10.6.162.46","49715","slack.com","13.225.64.153","443","N/A","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:25 PM","Information","10.6.162.46","49715","slack.com:443/","13.225.64.153","443","N/A","7"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:19 PM","Object Not Cached","10.6.162.46","49692","mlpinfosec.slack.com","13.226.39.153","443","wgonzalez","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:13 PM","Object Not Cached","10.6.162.46","49692","mlpinfosec.slack.com","13.226.39.153","443","wgonzalez","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:12 PM","Information","10.6.162.46","49697","slack-imgs.com:443/","13.225.201.63","443","wgonzalez","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:12 PM","Information","10.6.162.46","49696","slackb.com:443/","54.87.175.4","443","wgonzalez","7"
"TCP_CLIENT_REFRESH","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:12 PM","Object Not Cached","10.6.162.46","49697","slack-imgs.com","13.225.201.63","443","wgonzalez","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:10 PM","Access Permitted","10.6.162.46","49471","mpgops.service-now.com:443/","149.96.33.210","443","N/A","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:09 PM","Object Not Cached","10.6.162.46","49692","mlpinfosec.slack.com","13.226.39.153","443","wgonzalez","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:09 PM","Object Not Cached","10.6.162.46","49691","N/A","172.217.197.188","5228","wgonzalez","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:09 PM","Information","10.6.162.46","49691","mtalk.google.com:5228/","172.217.197.188","5228","wgonzalez","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:39:09 PM","Information","10.6.162.46","49692","mlpinfosec.slack.com:443/","13.226.39.153","443","wgonzalez","7"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:38:48 PM","Object Not Cached","10.6.162.46","49670","ctldl.windowsupdate.com","8.250.101.254","80","N/A","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:38:35 PM","Object Not Cached","10.6.162.46","49599","2.dl.delivery.mp.microsoft.com","72.22.185.198","80","N/A","6"
